,okved_prefix,all_rel,sm_rel,med_rel
2,1,0.118,0.211,0.21
3,2,0.097,0.113,0.148
4,3,0.106,0.245,0.364
5,5,0.106,0.04,0.12
6,6,0.104,0.042,0.103
7,7,0.077,0.097,0.175
8,8,0.053,0.059,0.093
9,9,0.047,0.049,0.065
10,10,0.032,0.025,0.029
11,11,0.035,0.055,0.068
12,12,0.032,0.142,0.123
13,13,0.047,0.047,0.079
14,14,0.056,0.073,0.086
15,15,0.052,0.042,0.068
16,16,0.057,0.061,0.091
17,17,0.037,0.039,0.066
18,18,0.044,0.04,0.048
19,19,0.038,0.018,0.028
20,20,0.053,0.063,0.075
21,21,0.102,0.106,0.19
22,22,0.036,0.037,0.058
23,23,0.032,0.03,0.067
24,24,0.032,0.031,0.045
25,25,0.036,0.036,0.049
26,26,0.072,0.097,0.101
27,27,0.041,0.047,0.063
28,28,0.042,0.047,0.085
29,29,0.036,0.042,0.054
30,30,0.046,0.048,0.047
31,31,0.049,0.038,0.051
32,32,0.072,0.097,0.135
33,33,0.067,0.067,0.041
34,35,0.024,0.017,0.04
35,36,-0.012,-0.009,0.055
36,37,0.047,0.051,0.061
37,38,0.041,0.037,0.026
38,39,0.061,0.208,0
39,41,0.033,0.026,0.029
40,42,0.038,0.031,0.034
41,43,0.042,0.026,0.035
42,45,0.039,0.029,0.028
43,46,0.032,0.031,0.033
44,47,0.054,0.04,0.017
45,49,0.027,0.023,0.026
46,50,0.052,0.029,0.069
47,51,0.04,0.052,0.034
48,52,0.038,0.037,0.033
49,53,0.071,0.021,0.001
50,55,0.077,0.091,0.125
51,56,0.068,0.08,0.031
52,58,0.054,0.07,0.086
53,59,0.063,0.06,0.045
54,60,0.064,0.072,0.094
55,61,0.074,0.086,0.084
56,62,0.095,0.113,0.099
57,63,0.089,0.105,0.118
58,64,0.103,0.164,0.166
59,65,0.105,0.381,0
60,66,0.14,0.47,0.249
61,68,0.118,0.123,0.165
62,69,0.114,0.099,0.042
63,70,0.098,0.073,0.048
64,71,0.099,0.094,0.079
65,72,0.082,0.089,0.113
66,73,0.059,0.048,0.038
67,74,0.098,0.07,0.087
68,75,0.088,0.073,0
69,77,0.058,0.069,0.106
70,78,0.057,0.018,0.015
71,79,0.115,0.074,0.033
72,80,0.089,0.059,0.034
73,81,0.067,0.046,0.042
74,82,0.074,0.052,0.039
75,84,0.085,0.079,0.066
76,85,0.063,0.067,0.067
77,86,0.1,0.111,0.118
78,87,0.051,0.006,0
79,88,0.07,0.077,0
80,90,0.071,0.053,-0.557
81,91,0.088,0.089,0
82,92,0.064,0.186,0.022
83,93,0.071,0.077,0.01
84,94,0.104,0.154,0.139
85,95,0.061,0.061,0.23
86,96,0.064,0.104,0.085
